"BIBLIOGRAFIA";"AUTOR";"TITULO";"FECHA";"CRITERIO";"BLOQUE";"MEDIO";"SOPORTE";"TEMA";"PAIS";"ZONA";"TIPOLOGIA";"NOTAS";"CONCORDANCIA";"Valida";"cuantificador"
"Boadella, Albert: Memorias de un bufón. Madrid: Espasa Calpe, 2001.";"Boadella, Albert";"Memorias de un bufón";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Artes, cultura y espectáculos";"España";;;;"el mañana era responsabilidad exclusiva de la providencia.La prueba salió catastrófica; yo no era un buen actor, pero tampoco tan inútil como parecí. Gómez estaba desesperado, pues quería tener un buen compañero durante el largo tiempo de grabación, y hacía todo lo posible por convencer a los directivos de mi valía. Cuanto más insistía, más desconfiaban los alemanes, pues se debían de imaginar que aquel español patoso era simplemente un compañero de parrandas que Gómez les quería endosar como actor. Naturalmente no me aceptaron, y volví con una reconfortante sensación de liberación, aunque muy sorprendido de la extraña pirueta de mi subconsciente durante la prueba.Sorprendentemente,";"si";"cuanto"
"Aburto, Juan: «A renovar su PC». La Prensa de Nicaragua. Informática. Managua: laprensa.com.ni, 2001-04-10.";"Aburto, Juan";"La Prensa de Nicaragua. Informática";2001;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias y tecnología";"Nicaragua";"México y Centroamérica";;;"su vez, cada procesador tiene características y recursos que lo hacen único en su género; frecuencia, cantidad de memoria, ausencia, presencia y tamaño de la memoria caché, coprocesador, etc. Otra característica de las tarjetas maestras es la cantidad de ranuras para los bancos de memoria y para las tarjetas de expansión: mientras más tenga un modelo, más recursos —memoria, extensiones— podrá incorporarle eventualmente.";"si";"mientras"
"Sabanero, Sandra: Boda Mexicana. Barcelona: Ediciones B, 2002.";"Sabanero, Sandra";"Boda Mexicana";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"México";"México y Centroamérica";"Ficción";;"los pocos, el doctor Alejandro Dávila, un capitalino de aire distraído y bondadoso que había llegado a refundirse a Los Remedios por razones inexplicables. El sentía por ella compasión y, desde mucho tiempo antes, un amor platónico, No concebía que Francisco maltratara a una mujer tan frágil y de modales tan delicados. Entre más percibía sus sufrimientos, más se lamentaba de no haberla conocido antes. El médico supo de su existencia el día que la bisabuela sufrió el ataque de apoplejía. La acompañó durante sus horas de angustia y fue testigo de su devoción hacia la enferma. Lo impresionó el candor de su mirada y la suavidad de su";"si";"entre"
"Ruiz, Fabiola: Telares. México D. F.: Ediciones Era, CONACULTA-INBA, 2002.";"Ruiz, Fabiola";"Telares";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"México";"México y Centroamérica";"Ficción";;"tragos en la cantina del Quetuta, donde antes se vendían los mentados amarguitos. Van vestidos a la usanza de otra época, los hombres usan pantalones cortos y las mujeres escote hasta las nalgas. Los catrines del pueblo la nombran ""Bar El Talador"". Será que entre más camino más ando y entre más ando más diviso todas las cosas que nos trajo el tal Tereso. A veces como que algo se me apaga por dentro. Entonces nada más camino.";"si";"entre"
"Arroyo, Justo: Vida que olvida. Costa Rica: Alfaguara, 2002.";"Arroyo, Justo";"Vida que olvida";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Panamá";"México y Centroamérica";"Ficción";;"Lo peor era su incapacidad para emborracharse. Si por lo menos perdiera el conocimiento, si por lo menos pudiera embrutecerse su vida tendría sentido porque entonces podría desconectarse y afrontar el día sabiendo que al final lo esperaba la inconsciencia. Pero mientras más bebía más lúcido se tornaba y en la soledad de su oficina podía repasar minuto a minuto sus actividades desde que bajó del barco con Antonia hasta el nacimiento de sus hijas; su lucha por dejar atrás la pobreza de modo de brindarle seguridad a su familia. Pero de esa familia sólo quedaba ahora una anciana";"si";"mientras"
"Arroyo, Justo: Vida que olvida. Costa Rica: Alfaguara, 2002.";"Arroyo, Justo";"Vida que olvida";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Panamá";"México y Centroamérica";"Ficción";;"no paraba de hablar cuando estaba con ella, ahora se encontraba mudo y de seguro le transmitía una imagen de retrasado mental, a ella, su esposa, la mujer a quien debía impresionar. Pero la idea de que hubieran transcurrido dos días y que todavía no hubieran hecho el amor le resultaba intolerable, y mientras más pensaba en ello, más le atemorizaba un nuevo descalabro.";"si";"mientras"
"Pantoja, Oscar: El hijo. Bogotá: Fundación Universidad Central, 2002.";"Pantoja, Oscar";"El hijo";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"camino. Veo a lo lejos, muy lejos, un campamento. Imagino que en el campamento hay música y agua y mujeres, y no sé por qué imagino que todas las mujeres de la tienda tienen la cara de Sandra y son Sandra. Corro desesperado por la arena para llegar lo antes posible, pero cuanto más corro, más larga es la distancia, entonces todo se vuelve confuso y me veo en un cuarto completamente oscuro. Estoy en un rincón y el miedo me quema la carne. Sé que voy a morir y sé quién me va a matar. Se abre una puerta y aparece mi hijo con un cuchillo en la";"si";"cuanto"
"Ungar, Antonio: «Kamandil Viarko». Mery Giraldo, Luz [comp.]: Cuentos caníbales. Antología de nuevos narradores colombianos. Bogotá: Alfaguara, 2006.";"Mery Giraldo, Luz [comp.]";"Cuentos caníbales. Antología de nuevos narradores colombianos";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Colombia";"Caribe continental";"Ficción";;"gendarme que me seguía mirando muy estreñido y muy nervioso desde el andén, que se ponía pálido mientras escupía sólo una o dos frases en su lengua de cólicos y náuseas. No soy un animal, joven, le dije: no soy un animal, no soy un animal, no soy un animal, y entre más repetía la frase más sentía que la sangre se me subía a la cabeza, y si mi primo Bogol no mira con sus ojos a los ojos del mozo este y sin abrir su boca le dice ""lárgate ahora mismo, hijo, largo"", creo que hubiera muerto un sucio policía entre estas manos";"si";"entre"
"Alburquerque, Andrés: «El reo». Diez cuentos cubanos, más o menos. Madrid: Editorial Betania, 2002.";"Alburquerque, Andrés";"Diez cuentos cubanos, más o menos";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Cuba";"Antillas";"Ficción";;"liberado de toda la ropa, trataba de estimularla con sus manos, con sus dedos de soldado enmohecido, con su lengua de adolescente hambriento, pero las mucosas secas le hacían comprender que no era bienvenido, podía aprovechar la situación, pero no disfrutarla, era el ritual de casi todas las noches y mientras más sufría su indiferencia más sentía la necesidad de poseerla, de hacerla suya a toda costa, de romper su resistencia, como había roto su libertad, de tomar esta ""plaza"" que no se rendía a pesar de su inferioridad numérica y a la que entraba vencedor pero sin vítores ni aclamaciones.";"si";"mientras"
"Martínez, Tomás Eloy: El vuelo de la reina. Madrid: Alfaguara, 2002.";"Martínez, Tomás Eloy";"El vuelo de la reina";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Argentina";"Río de la Plata";"Ficción";;"noches, para la mujer es un asunto de vida o muerte. ¿Soy otra desde que soy con vos? Qué frase tan impúdica. A él le ha bastado silbar, lanzar al aire el nombre de un hotel, para que ella se eche a correr en su busca como una perra hambrienta. Cuanto más lee los mensajes, más se indigna, no contra la mujer sino contra sí mismo. ¿Así le paga ella las noches que ha pasado en vela recorriendo su cuerpo a través de las lentes del telescopio Bushnell, custodiándola de lejos, acechando el menor trastorno de su respiración? Se lo veía venir: tarde o";"si";"cuanto"
