"source"	"ID_sentence"	"date"	"url"	"sentence"	"cor_manual"	"Cita_traducción"	"Interrumpida"	"Introductor"	"Comparativos"	"Modificados"	"Función_Scomp_prótasis"	"Función_Scomp_apódosis"	"SV_prótasis"	"SV_apódosis"	"Tiempo_verbal_prótasis"	"Tiempo_verbal_apódosis"	"Modo_verbal_prótasis"	"Modo_verbal_apódosis"	"Marco_sintáctico_oración"	"Interpretación_tanto_tanto"
"El País"	"4635_3"	"2017-03-14"	"https://elpais.com/internacional/2017/03/14/actualidad/1489479407_066499.html"	"la reina isabel ii está más cerca de su pueblo cuando más lejos se encuentra."	"inversa"	"no"	"no"	"cuando"	"más_más"	"Adv_Adv"	"CC"	"CC"	"V"	"SVComp"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"4846_3"	"2017-02-12"	"https://elpais.com/politica/2017/02/12/actualidad/1486889678_788459.html"	"todavía se necesitan en el esquema paterno-filial y en los rescoldos del mesianismo, pero tanto se refuerza su liderazgo agresivo, tanto se desvanecen sus posibilidades de llegar a la moncloa."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"VS"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"5256_3"	"2016-12-05"	"https://elpais.com/internacional/2016/12/05/actualidad/1480961386_314161.html"	"más se incendia el ex primer ministro, más próspera la sensación de que el referéndum tiene un responsable y una víctima, relativizando así los problemas evidentes de la crispación política, de la incertidumbre europea y del progreso narrativo que la caída de un primer ministro italiano incorpora a los episodios ya conocidos del brexit y de trump."	"amonesca"	"no"	"no"	"NA"	"más_más"	"V_V"	"CC"	"CC"	"VS"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"5443_3"	"2016-11-09"	"https://elpais.com/internacional/2016/11/09/actualidad/1478723156_012432.html"	"más obstáculos le oponían, más energía tenía para saltarlos."	"amonesca"	"no"	"no"	"NA"	"más_más"	"N_N"	"OD"	"OD"	"V"	"V_"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"5514_3"	"2016-10-27"	"https://elpais.com/politica/2016/10/27/actualidad/1477561384_328650.html"	"tanto abjuraba de rajoy y enfatizaba la catástrofe de su gestión, tanto resultaba inverosímil la postura abstencionista."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V/Adj"	"CC"	"CC/Ptvo"	"V_"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"5708_2"	"2016-10-02"	"https://elpais.com/politica/2016/10/02/actualidad/1475426246_043472.html"	"y un punto de encuentro con la euforia de los populares, hasta el extremo de que los marianistas y los pablistas han acudido con lágrimas de plañidera al funeral de sánchez, reclamando que españa necesita un psoe fuerte, de acuerdo, pero cuanto más tarde mejor para ellos."	"normal"	"no"	"no"	"cuanto"	"más_mejor"	"Adv_Adj"	"NA"	"NA"	"sin verbo"	"sin verbo"	"NA"	"NA"	"NA"	"NA"	"principal"	"NA"
"El País"	"5710_2"	"2016-10-02"	"https://elpais.com/politica/2016/10/01/actualidad/1475353087_409450.html"	"tanto gritaban e insultaban a los “golpistas”, tanto se consolaban los unos a los otros con abrazos y lagrimones, aferrándose al eslogan que los había identificado durante 12 horas de guardia: “los militantes, son los que mandan”."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"V_"	"V_"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"5830_3"	"2016-09-13"	"https://elpais.com/politica/2016/09/13/actualidad/1473772409_489191.html"	"más detalles escabrosos conocemos de los quer, más se arraiga y precipita la conclusión de un crimen endogámico."	"amonesca"	"no"	"no"	"NA"	"más_más"	"N_V"	"OD"	"CC"	"V_"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"5885_1"	"2016-09-02"	"https://elpais.com/cultura/2016/09/01/actualidad/1472749681_264920.html"	"cuanto menos torea, más expectación suscita, hasta el extremo de que su brevísima temporada española —seis tardes, seis— puede considerarse la más llamativa en términos de repercusión mediática y hasta de impacto económico."	"normal"	"no"	"no"	"cuanto"	"menos_más"	"V_N"	"CC"	"OD"	"V"	"V"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"6023_3"	"2016-08-06"	"https://elpais.com/cultura/2016/08/05/television/1470397400_737150.html"	"más instruido es un país, más posibilidades tiene de prosperar."	"amonesca"	"no"	"no"	"NA"	"más_más"	"Adj_N"	"Atr"	"OD"	"VS"	"V_"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
